Season,Type,Amount
2010/11 Winter,Income,91.35
2010/11 Winter,Spent,-87.95
2010/11 Winter,Overall,3.4
2011/12,Income,20.61
2011/12,Spent,-58.79
2011/12,Overall,-38.18
2012/13,Income,9.41
2012/13,Spent,-63.54
2012/13,Overall,-54.13
2013/14,Income,29.25
2013/14,Spent,-52.29
2013/14,Overall,-23.04
2014/15,Income,89.34
2014/15,Spent,-136.29
2014/15,Overall,-46.95
2015/16,Income,81.5
2015/16,Spent,-113.85
2015/16,Overall,-32.35
2016/17,Income,76.84
2016/17,Spent,-71.91
2016/17,Overall,4.93
2017/18,Income,175.05
2017/18,Spent,-156.49
2017/18,Overall,18.56
2018/19,Income,37.19
2018/19,Spent,-163.98
2018/19,Overall,-126.79
2019/20,Income,37.44
2019/20,Spent,-9.36
2019/20,Overall,28.08
2020/21,Income,38.88
2020/21,Spent,-74.39
2020/21,Overall,-35.51
All,Income,686.86
All,Spent,-988.84
All,Overall,-301.98
